seq	moe_id	unicode_hex	unicode_int	char
00001	A00001	U+4E00	19968	一
00002	A00002	U+4E01	19969	丁
00003	A00003	U+4E03	19971	七
00004	A00004	U+4E09	19977	三
00005	A00005	U+4E0B	19979	下
00006	A00006	U+4E08	19976	丈
00007	A00007	U+4E0A	19978	上
00008	A00008	U+4E11	19985	丑
00009	A00009	U+4E10	19984	丐
00010	A00010	U+4E0D	19981	不
00011	A00011	U+4E19	19993	丙
00012	A00012	U+4E16	19990	世
00013	A00013	U+4E15	19989	丕
00014	A00014	U+4E14	19988	且
00015	A00015	U+4E18	19992	丘
00016	A00016	U+4E1E	19998	丞
00017	A00017	U+4E1F	19999	丟
00018	A00018	U+4E26	20006	並
00019	A00019	U+4E2B	20011	丫
00020	A00020	U+4E2D	20013	中
00021	A00021	U+4E32	20018	串
00022	A00022	U+4E38	20024	丸
00023	A00023	U+51E1	20961	凡
00024	A00024	U+4E39	20025	丹
00025	A00025	U+4E3B	20027	主
00026	A00026	U+4E43	20035	乃
00027	A00027	U+4E45	20037	久
00028	A00028	U+4E48	20040	么
00029	A00029	U+4E4B	20043	之
00030	A00030	U+5C39	23609	尹
00031	A00031	U+4E4D	20045	乍
00032	A00032	U+4E4F	20047	乏
00033	A00033	U+4E4E	20046	乎
00034	A00034	U+4E52	20050	乒
00035	A00035	U+4E53	20051	乓
00036	A00036	U+4E56	20054	乖
00037	A00037	U+4E58	20056	乘
00038	A00038	U+4E59	20057	乙
00039	A00039	U+4E5D	20061	九
00040	A00040	U+4E5F	20063	也
00041	A00041	U+4E5E	20062	乞
00042	A00042	U+4E69	20073	乩
00043	A00043	U+4E73	20083	乳
00044	A00044	U+4E7E	20094	乾
00045	A00045	U+4E82	20098	亂
00046	A00046	U+4E86	20102	了
00047	A00047	U+4E88	20104	予
00048	A00048	U+4E8B	20107	事
00049	A00049	U+4E8C	20108	二
00050	A00050	U+4E8E	20110	于
00051	A00051	U+4E91	20113	云
00052	A00052	U+4E95	20117	井
00053	A00053	U+4E92	20114	互
00054	A00054	U+4E94	20116	五
00055	A00055	U+4E99	20121	亙
00056	A00056	U+4E9B	20123	些
00057	A00057	U+4E9E	20126	亞
00058	A00058	U+4E9F	20127	亟
00059	A00059	U+4EA1	20129	亡
00060	A00060	U+4EA4	20132	交
00061	A00061	U+4EA6	20134	亦
00062	A00062	U+4EA5	20133	亥
00063	A00063	U+4EA8	20136	亨
00064	A00064	U+4EAB	20139	享
00065	A00065	U+4EAC	20140	京
00066	A00066	U+4EAD	20141	亭
00067	A00067	U+4EAE	20142	亮
00068	A00068	U+4EBA	20154	人
00069	A00069	U+4EC1	20161	仁
00070	A00070	U+4EC0	20160	什
00071	A00071	U+4EC3	20163	仃
00072	A00072	U+4EC6	20166	仆
00073	A00073	U+4EC7	20167	仇
00074	A00074	U+4ECD	20173	仍
00075	A00075	U+4ECA	20170	今
00076	A00076	U+4ECB	20171	介
00077	A00077	U+4EC4	20164	仄
00078	A00078	U+4EE5	20197	以
